duration_s,forward_progress_m,blocked_time_s,pinned_time_s,collisions,success,start_to_goal_m
0.060,0.001,0.000,0.000,0,false,11.287
0.060,0.003,0.000,0.000,0,false,11.288
0.040,0.003,0.000,0.000,0,false,11.285
0.060,0.000,0.000,0.000,0,false,11.283
0.060,0.002,0.000,0.000,0,false,11.286
0.060,0.001,0.000,0.000,0,false,11.287
0.040,0.000,0.000,0.000,0,false,11.285
0.020,0.000,0.000,0.000,0,false,12.959
0.040,0.768,0.000,0.000,0,false,11.656
0.060,3.205,0.000,0.000,0,false,9.397
0.060,3.021,0.000,0.000,0,false,4.845
0.040,0.546,0.000,0.000,0,true,0.648
0.020,0.000,0.000,0.000,0,false,12.959
0.040,1.293,0.000,0.000,0,false,11.677
0.060,3.224,0.000,0.000,0,false,8.833
0.060,2.969,0.000,0.000,0,false,4.074
0.020,0.000,0.000,0.000,0,true,0.283
0.020,0.000,0.000,0.000,0,false,12.959
0.040,0.151,0.000,0.000,0,false,11.632
0.060,0.000,0.000,0.000,0,false,11.517
0.060,0.000,0.000,0.000,0,false,11.518
0.060,0.000,0.000,0.000,0,false,11.517
0.060,0.006,0.000,0.000,0,false,11.524
0.040,0.000,0.000,0.000,0,false,11.518
0.060,0.001,0.000,0.000,0,false,11.519
0.060,0.000,0.000,0.000,0,false,11.516
0.060,0.001,0.000,0.000,0,false,11.517
0.060,0.000,0.000,0.000,0,false,11.515
0.040,0.002,0.000,0.000,0,false,11.517
0.060,0.002,0.000,0.000,0,false,11.517
0.060,0.002,0.000,0.000,0,false,11.517
0.060,0.000,0.000,0.000,0,false,11.517
0.060,0.000,0.000,0.000,0,false,11.516
0.040,0.000,0.000,0.000,0,false,11.518
0.060,0.000,0.000,0.000,0,false,11.516
0.060,0.002,0.000,0.000,0,false,11.518
0.060,0.002,0.000,0.000,0,false,11.519
0.060,0.000,0.000,0.000,0,false,11.516
0.040,0.000,0.000,0.000,0,false,11.517
0.060,0.001,0.000,0.000,0,false,11.519
0.060,0.001,0.000,0.000,0,false,11.518
0.060,0.002,0.000,0.000,0,false,11.519
0.040,0.002,0.000,0.000,0,false,11.519
0.060,0.002,0.000,0.000,0,false,11.518
0.060,0.000,0.000,0.000,0,false,11.518
0.060,0.000,0.000,0.000,0,false,11.518
0.060,0.000,0.000,0.000,0,false,11.518
0.040,0.000,0.000,0.000,0,false,11.520
0.060,0.002,0.000,0.000,0,false,11.520
0.060,0.005,0.000,0.000,0,false,11.519
0.060,0.002,0.000,0.000,0,false,11.515
0.060,0.001,0.000,0.000,0,false,11.516
0.040,0.000,0.000,0.000,0,false,11.513
0.060,0.000,0.000,0.000,0,false,11.516
0.060,0.001,0.000,0.000,0,false,11.519
0.060,0.006,0.000,0.000,0,false,11.519
0.060,0.003,0.000,0.000,0,false,11.513
0.040,0.000,0.000,0.000,0,false,11.508
0.060,0.000,0.000,0.000,0,false,11.515
0.060,0.000,0.000,0.000,0,false,11.518
0.060,0.001,0.000,0.000,0,false,11.518
0.060,0.001,0.000,0.000,0,false,11.518
0.040,0.000,0.000,0.000,0,false,11.517
0.060,0.001,0.000,0.000,0,false,11.518
0.060,0.000,0.000,0.000,0,false,11.518
0.060,0.000,0.000,0.000,0,false,11.518
0.060,0.001,0.000,0.000,0,false,11.519
0.040,0.001,0.000,0.000,0,false,11.519
0.060,0.001,0.000,0.000,0,false,11.518
0.060,0.002,0.000,0.000,0,false,11.519
0.060,0.000,0.000,0.000,0,false,11.517
0.040,0.000,0.000,0.000,0,false,11.518
0.060,0.001,0.000,0.000,0,false,11.518
0.060,0.001,0.000,0.000,0,false,11.519
0.060,0.001,0.000,0.000,0,false,11.518
0.060,0.002,0.000,0.000,0,false,11.519
0.040,0.000,0.000,0.000,0,false,11.517
0.060,0.001,0.000,0.000,0,false,11.519
0.060,0.000,0.000,0.000,0,false,11.518
0.060,0.002,0.000,0.000,0,false,11.519
0.060,0.000,0.000,0.000,0,false,11.517
0.040,0.002,0.000,0.000,0,false,11.517
0.060,0.002,0.000,0.000,0,false,11.518
0.060,0.003,0.000,0.000,0,false,11.515
0.060,0.000,0.000,0.000,0,false,11.508
0.060,0.000,0.000,0.000,0,false,11.510
0.040,0.000,0.000,0.000,0,false,11.513
0.060,0.000,0.000,0.000,0,false,11.512
0.060,0.001,0.000,0.000,0,false,11.515
0.060,0.002,0.000,0.000,0,false,11.515
0.060,0.003,0.000,0.000,0,false,11.515
0.040,0.003,0.000,0.000,0,false,11.514
0.060,0.003,0.000,0.000,0,false,11.514
0.060,0.005,0.000,0.000,0,false,11.513
0.060,0.000,0.000,0.000,0,false,11.485
0.060,0.021,0.000,0.000,0,false,11.505
0.060,0.001,0.000,0.000,0,false,11.483
0.040,0.021,0.000,0.000,0,false,11.501
0.060,0.019,0.000,0.000,0,false,11.499
0.060,0.002,0.000,0.000,0,false,11.513
0.060,0.003,0.000,0.000,0,false,11.513
0.060,0.001,0.000,0.000,0,false,11.513
0.040,0.001,0.000,0.000,0,false,11.516
0.060,0.000,0.000,0.000,0,false,11.514
0.060,0.002,0.000,0.000,0,false,11.517
0.060,0.002,0.000,0.000,0,false,11.516
0.040,0.002,0.000,0.000,0,false,11.517
0.060,0.002,0.000,0.000,0,false,11.517
0.060,0.002,0.000,0.000,0,false,11.516
0.060,0.000,0.000,0.000,0,false,11.514
0.060,0.000,0.000,0.000,0,false,11.515
0.040,0.000,0.000,0.000,0,false,11.517
0.060,0.000,0.000,0.000,0,false,11.515
0.060,0.002,0.000,0.000,0,false,11.517
0.060,0.002,0.000,0.000,0,false,11.517
0.060,0.002,0.000,0.000,0,false,11.518
0.040,0.000,0.000,0.000,0,false,11.516
0.060,0.002,0.000,0.000,0,false,11.518
0.060,0.000,0.000,0.000,0,false,11.516
0.060,0.000,0.000,0.000,0,false,11.516
0.060,0.002,0.000,0.000,0,false,11.518
0.060,0.001,0.000,0.000,0,false,11.518
0.040,0.002,0.000,0.000,0,false,11.520
0.060,0.000,0.000,0.000,0,false,11.517
0.060,0.002,0.000,0.000,0,false,11.519
0.060,0.000,0.000,0.000,0,false,11.517
0.060,0.001,0.000,0.000,0,false,11.518
0.020,0.000,0.000,0.000,0,false,12.959
0.040,0.077,0.000,0.000,0,false,12.078
0.060,0.000,0.000,0.000,0,false,11.999
0.060,0.000,0.000,0.000,0,false,12.002
0.060,0.000,0.000,0.000,0,false,12.007
0.060,0.008,0.000,0.000,0,false,12.011
0.040,0.003,0.000,0.000,0,false,12.003
0.060,0.000,0.000,0.000,0,false,12.006
0.060,0.000,0.000,0.000,0,false,12.004
0.060,0.004,0.000,0.000,0,false,12.011
0.040,0.000,0.000,0.000,0,false,12.012
0.060,0.001,0.000,0.000,0,false,12.023
0.060,0.004,0.000,0.000,0,false,12.026
0.060,0.007,0.000,0.000,0,false,12.023
0.060,0.004,0.000,0.000,0,false,12.019
0.060,0.003,0.000,0.000,0,false,12.020
0.040,0.007,0.000,0.000,0,false,12.023
0.060,0.006,0.000,0.000,0,false,12.024
0.060,0.004,0.000,0.000,0,false,12.023
0.060,0.009,0.000,0.000,0,false,12.025
0.040,0.000,0.000,0.000,0,false,12.019
0.060,0.008,0.000,0.000,0,false,12.024
0.060,0.000,0.000,0.000,0,false,12.019
0.060,0.000,0.000,0.000,0,false,12.018
0.060,0.009,0.000,0.000,0,false,12.031
0.060,0.000,0.000,0.000,0,false,12.024
0.040,0.000,0.000,0.000,0,false,12.023
0.060,0.003,0.000,0.000,0,false,12.027
0.060,0.005,0.000,0.000,0,false,12.029
0.060,0.006,0.000,0.000,0,false,12.028
0.060,0.000,0.000,0.000,0,false,12.024
0.040,0.000,0.000,0.000,0,false,12.027
0.060,0.095,0.000,0.000,0,false,12.039
0.060,0.003,0.000,0.000,0,false,11.947
0.060,0.008,0.000,0.000,0,false,11.948
0.060,0.000,0.000,0.000,0,false,11.939
0.040,0.002,0.000,0.000,0,false,11.940
0.060,0.005,0.000,0.000,0,false,11.947
0.060,0.000,0.000,0.000,0,false,11.941
0.060,0.002,0.000,0.000,0,false,11.944
0.040,0.004,0.000,0.000,0,false,11.948
0.060,0.004,0.000,0.000,0,false,11.947
0.060,0.004,0.000,0.000,0,false,11.949
0.060,0.001,0.000,0.000,0,false,11.945
0.060,0.000,0.000,0.000,0,false,11.946
0.040,0.000,0.000,0.000,0,false,11.945
0.060,0.000,0.000,0.000,0,false,11.946
0.060,0.000,0.000,0.000,0,false,11.944
0.060,0.004,0.000,0.000,0,false,11.949
0.060,0.004,0.000,0.000,0,false,11.947
0.060,0.002,0.000,0.000,0,false,11.943
0.040,0.000,0.000,0.000,0,false,11.943
0.060,0.002,0.000,0.000,0,false,11.944
0.060,0.000,0.000,0.000,0,false,11.945
0.060,0.000,0.000,0.000,0,false,11.943
0.040,0.000,0.000,0.000,0,false,11.948
0.060,0.000,0.000,0.000,0,false,11.945
0.060,0.000,0.000,0.000,0,false,11.943
0.060,0.004,0.000,0.000,0,false,11.949
0.060,0.005,0.000,0.000,0,false,11.950
0.040,0.002,0.000,0.000,0,false,11.946
0.060,0.004,0.000,0.000,0,false,11.950
0.060,0.002,0.000,0.000,0,false,11.946
0.060,0.000,0.000,0.000,0,false,11.946
0.060,0.000,0.000,0.000,0,false,11.946
0.060,0.004,0.000,0.000,0,false,11.950
0.040,0.004,0.000,0.000,0,false,11.952
0.060,0.005,0.000,0.000,0,false,11.950
0.060,0.005,0.000,0.000,0,false,11.951
0.020,0.000,0.000,0.000,0,false,12.959
0.040,0.000,0.000,0.000,0,false,11.776
0.060,0.050,0.000,0.000,0,false,11.693
0.060,0.000,0.000,0.000,0,false,11.642
0.060,0.001,0.000,0.000,0,false,11.645
0.060,0.003,0.000,0.000,0,false,11.646
0.040,0.002,0.000,0.000,0,false,11.645
0.060,0.002,0.000,0.000,0,false,11.645
0.060,0.003,0.000,0.000,0,false,11.645
0.060,0.000,0.000,0.000,0,false,11.645
0.060,0.000,0.000,0.000,0,false,11.644
0.040,0.000,0.000,0.000,0,false,11.643
0.060,0.004,0.000,0.000,0,false,11.641
0.060,0.000,0.000,0.000,0,false,11.634
0.060,0.004,0.000,0.000,0,false,11.639
0.060,0.000,0.000,0.000,0,false,11.636
0.040,0.000,0.000,0.000,0,false,11.651
0.060,0.000,0.000,0.000,0,false,11.650
0.060,0.001,0.000,0.000,0,false,11.651
0.060,0.000,0.000,0.000,0,false,11.649
0.060,0.002,0.000,0.000,0,false,11.650
0.040,0.002,0.000,0.000,0,false,11.650
0.060,0.002,0.000,0.000,0,false,11.650
0.060,0.002,0.000,0.000,0,false,11.651
0.060,0.001,0.000,0.000,0,false,11.649
0.060,0.000,0.000,0.000,0,false,11.648
0.060,0.002,0.000,0.000,0,false,11.652
0.040,0.000,0.000,0.000,0,false,11.648
0.060,0.002,0.000,0.000,0,false,11.650
0.060,0.003,0.000,0.000,0,false,11.651
0.060,0.000,0.000,0.000,0,false,11.649
0.040,0.001,0.000,0.000,0,false,11.652
0.060,0.001,0.000,0.000,0,false,11.651
0.060,0.003,0.000,0.000,0,false,11.650
0.060,0.002,0.000,0.000,0,false,11.651
0.060,0.000,0.000,0.000,0,false,11.649
0.040,0.002,0.000,0.000,0,false,11.652
0.060,0.002,0.000,0.000,0,false,11.652
0.060,0.002,0.000,0.000,0,false,11.651
0.060,0.000,0.000,0.000,0,false,11.650
0.060,0.003,0.000,0.000,0,false,11.653
0.040,0.000,0.000,0.000,0,false,11.650
0.060,0.002,0.000,0.000,0,false,11.652
0.060,0.000,0.000,0.000,0,false,11.650
0.060,0.000,0.000,0.000,0,false,11.649
0.060,0.002,0.000,0.000,0,false,11.652
0.040,0.002,0.000,0.000,0,false,11.652
0.060,0.002,0.000,0.000,0,false,11.652
0.060,0.000,0.000,0.000,0,false,11.649
0.060,0.000,0.000,0.000,0,false,11.647
0.060,0.002,0.000,0.000,0,false,11.648
0.040,0.000,0.000,0.000,0,false,11.647
0.060,0.001,0.000,0.000,0,false,11.652
0.060,0.006,0.000,0.000,0,false,11.651
0.060,0.000,0.000,0.000,0,false,11.649
0.060,0.011,0.000,0.000,0,false,11.648
0.040,0.002,0.000,0.000,0,false,11.643
0.060,0.004,0.000,0.000,0,false,11.644
0.060,0.000,0.000,0.000,0,false,11.639
0.060,0.002,0.000,0.000,0,false,11.642
0.040,0.003,0.000,0.000,0,false,11.641
0.060,0.002,0.000,0.000,0,false,11.641
0.060,0.002,0.000,0.000,0,false,11.641
0.060,0.000,0.000,0.000,0,false,11.639
0.060,0.000,0.000,0.000,0,false,11.639
0.060,0.001,0.000,0.000,0,false,11.640
0.040,0.000,0.000,0.000,0,false,11.638
0.060,0.000,0.000,0.000,0,false,11.636
0.060,0.003,0.000,0.000,0,false,11.637
0.060,0.004,0.000,0.000,0,false,11.639
0.040,0.000,0.000,0.000,0,false,11.644
0.060,0.000,0.000,0.000,0,false,11.643
0.060,0.000,0.000,0.000,0,false,11.648
0.060,0.002,0.000,0.000,0,false,11.650
0.060,0.006,0.000,0.000,0,false,11.648
0.040,0.001,0.000,0.000,0,false,11.642
0.060,0.002,0.000,0.000,0,false,11.641
0.060,0.000,0.000,0.000,0,false,11.637
0.060,0.001,0.000,0.000,0,false,11.639
0.060,0.000,0.000,0.000,0,false,11.637
0.060,0.001,0.000,0.000,0,false,11.645
0.040,0.000,0.000,0.000,0,false,11.645
0.060,0.000,0.000,0.000,0,false,11.644
0.060,0.001,0.000,0.000,0,false,11.645
0.060,0.002,0.000,0.000,0,false,11.646
0.060,0.003,0.000,0.000,0,false,11.646
0.040,0.000,0.000,0.000,0,false,11.644
0.060,0.002,0.000,0.000,0,false,11.646
0.060,0.000,0.000,0.000,0,false,11.645
0.060,0.002,0.000,0.000,0,false,11.646
0.060,0.000,0.000,0.000,0,false,11.646
0.040,0.005,0.000,0.000,0,false,11.647
0.060,0.000,0.000,0.000,0,false,11.642
0.060,0.001,0.000,0.000,0,false,11.644
0.060,0.002,0.000,0.000,0,false,11.646
0.060,0.002,0.000,0.000,0,false,11.646
0.060,0.000,0.000,0.000,0,false,11.645
0.040,0.000,0.000,0.000,0,false,11.645
0.060,0.001,0.000,0.000,0,false,11.645
0.060,0.000,0.000,0.000,0,false,11.644
0.060,0.000,0.000,0.000,0,false,11.645
0.060,0.002,0.000,0.000,0,false,11.647
0.040,0.003,0.000,0.000,0,false,11.647
0.060,0.002,0.000,0.000,0,false,11.646
0.060,0.003,0.000,0.000,0,false,11.646
0.060,0.001,0.000,0.000,0,false,11.645
0.060,0.000,0.000,0.000,0,false,11.648
0.040,0.000,0.000,0.000,0,false,11.649
0.060,0.000,0.000,0.000,0,false,11.648
0.060,0.000,0.000,0.000,0,false,11.649
0.060,0.001,0.000,0.000,0,false,11.650
0.060,0.002,0.000,0.000,0,false,11.651
0.040,0.002,0.000,0.000,0,false,11.651
0.060,0.002,0.000,0.000,0,false,11.651
0.060,0.001,0.000,0.000,0,false,11.651
0.060,0.000,0.000,0.000,0,false,11.650
0.060,0.000,0.000,0.000,0,false,11.649
0.060,0.001,0.000,0.000,0,false,11.651
0.040,0.002,0.000,0.000,0,false,11.652
0.060,0.001,0.000,0.000,0,false,11.651
0.060,0.004,0.000,0.000,0,false,11.652
0.060,0.002,0.000,0.000,0,false,11.651
0.060,0.000,0.000,0.000,0,false,11.650
0.060,0.000,0.000,0.000,0,false,11.649
0.040,0.000,0.000,0.000,0,false,11.651
0.060,0.000,0.000,0.000,0,false,11.649
0.060,0.002,0.000,0.000,0,false,11.651
0.060,0.002,0.000,0.000,0,false,11.651
0.060,0.001,0.000,0.000,0,false,11.650
0.040,0.000,0.000,0.000,0,false,11.649
0.060,0.001,0.000,0.000,0,false,11.650
0.060,0.000,0.000,0.000,0,false,11.649
0.060,0.000,0.000,0.000,0,false,11.650
0.060,0.002,0.000,0.000,0,false,11.651
0.040,0.002,0.000,0.000,0,false,11.652
0.060,0.002,0.000,0.000,0,false,11.651
0.060,0.002,0.000,0.000,0,false,11.652
0.060,0.002,0.000,0.000,0,false,11.651
0.060,0.000,0.000,0.000,0,false,11.650
0.040,0.000,0.000,0.000,0,false,11.650
0.060,0.000,0.000,0.000,0,false,11.650
0.060,0.000,0.000,0.000,0,false,11.650
0.060,0.002,0.000,0.000,0,false,11.651
0.060,0.002,0.000,0.000,0,false,11.651
0.060,0.001,0.000,0.000,0,false,11.651
0.040,0.000,0.000,0.000,0,false,11.649
0.060,0.001,0.000,0.000,0,false,11.651
0.060,0.000,0.000,0.000,0,false,11.649
0.060,0.000,0.000,0.000,0,false,11.650
0.060,0.002,0.000,0.000,0,false,11.651
0.060,0.002,0.000,0.000,0,false,11.652
0.040,0.001,0.000,0.000,0,false,11.649
0.060,0.000,0.000,0.000,0,false,11.648
0.060,0.001,0.000,0.000,0,false,11.648
0.060,0.002,0.000,0.000,0,false,11.652
0.040,0.000,0.000,0.000,0,false,11.650
0.060,0.000,0.000,0.000,0,false,11.649
0.060,0.002,0.000,0.000,0,false,11.651
0.060,0.002,0.000,0.000,0,false,11.651
0.060,0.003,0.000,0.000,0,false,11.651
0.060,0.000,0.000,0.000,0,false,11.647
0.040,0.000,0.000,0.000,0,false,11.647
0.060,0.000,0.000,0.000,0,false,11.646
0.060,0.000,0.000,0.000,0,false,11.647
0.060,0.002,0.000,0.000,0,false,11.648
0.060,0.004,0.000,0.000,0,false,11.649
0.040,0.001,0.000,0.000,0,false,11.645
0.060,0.003,0.000,0.000,0,false,11.647
0.060,0.000,0.000,0.000,0,false,11.645
0.060,0.000,0.000,0.000,0,false,11.645
0.060,0.000,0.000,0.000,0,false,11.645
0.040,0.001,0.000,0.000,0,false,11.648
0.060,0.001,0.000,0.000,0,false,11.647
0.060,0.002,0.000,0.000,0,false,11.648
0.060,0.003,0.000,0.000,0,false,11.648
0.060,0.001,0.000,0.000,0,false,11.645
0.040,0.000,0.000,0.000,0,false,11.644
0.060,0.000,0.000,0.000,0,false,11.645
0.060,0.000,0.000,0.000,0,false,11.644
0.060,0.001,0.000,0.000,0,false,11.644
0.020,0.000,0.000,0.000,0,false,12.959
0.040,0.426,0.000,0.000,0,false,11.634
0.060,0.048,0.000,0.000,0,false,11.234
0.060,0.000,0.000,0.000,0,false,11.188
0.060,0.050,0.000,0.000,0,false,11.241
0.060,0.401,0.000,0.000,0,false,11.194
0.040,1.568,0.000,0.000,0,false,9.354
0.060,2.266,0.000,0.000,0,false,6.206
0.060,0.609,0.000,0.000,0,false,3.916
0.060,1.804,0.000,0.000,0,true,1.899
0.020,0.000,0.000,0.000,0,false,12.959
0.040,0.007,0.000,0.000,0,false,11.638
0.060,3.010,0.000,0.000,0,false,11.200
0.060,2.228,0.000,0.000,0,false,6.584
0.060,2.696,0.000,0.000,0,false,3.392
0.020,0.000,0.000,0.000,0,true,0.112
0.020,0.000,0.000,0.000,0,false,12.959
0.040,1.388,0.000,0.000,0,false,11.606
0.040,1.560,0.000,0.000,0,false,8.729
0.040,1.177,0.000,0.000,0,false,5.608
0.020,0.000,0.000,0.000,0,false,3.280
0.040,1.218,0.000,0.000,0,true,1.855
0.020,0.000,0.000,0.000,0,true,0.087
0.020,0.000,0.000,0.000,0,false,12.959
0.040,1.376,0.000,0.000,0,false,11.656
0.060,3.101,0.000,0.000,0,false,8.808
0.060,2.489,0.000,0.000,0,false,4.413
0.040,0.623,0.000,0.000,0,true,0.740
0.020,0.000,0.000,0.000,0,false,12.959
0.040,1.373,0.000,0.000,0,false,11.630
0.060,3.112,0.000,0.000,0,false,8.782
0.060,2.843,0.000,0.000,0,false,4.203
0.020,0.000,0.000,0.000,0,true,0.352
0.020,0.000,0.000,0.000,0,false,12.959
0.040,1.357,0.000,0.000,0,false,11.638
0.060,3.089,0.000,0.000,0,false,8.792
0.060,2.824,0.000,0.000,0,false,4.279
0.020,0.000,0.000,0.000,0,true,0.422
0.020,0.000,0.000,0.000,0,false,12.959
0.040,1.368,0.000,0.000,0,false,11.630
0.060,3.106,0.000,0.000,0,false,8.770
0.060,2.843,0.000,0.000,0,false,4.249
0.020,0.000,0.000,0.000,0,true,0.384
0.020,0.000,0.000,0.000,0,false,12.959
0.040,0.288,0.000,0.000,0,false,11.649
0.060,0.000,0.000,0.000,0,false,11.369
0.060,0.000,0.000,0.000,0,false,11.365
0.060,0.001,0.000,0.000,0,false,11.367
0.060,0.003,0.000,0.000,0,false,11.368
0.040,0.002,0.000,0.000,0,false,11.367
0.060,0.002,0.000,0.000,0,false,11.367
0.060,0.002,0.000,0.000,0,false,11.367
0.060,0.000,0.000,0.000,0,false,11.365
0.060,0.000,0.000,0.000,0,false,11.365
0.060,0.002,0.000,0.000,0,false,11.367
0.040,0.003,0.000,0.000,0,false,11.368
0.060,0.002,0.000,0.000,0,false,11.367
0.060,0.002,0.000,0.000,0,false,11.368
0.060,0.002,0.000,0.000,0,false,11.368
0.060,0.000,0.000,0.000,0,false,11.366
0.040,0.000,0.000,0.000,0,false,11.365
0.060,0.000,0.000,0.000,0,false,11.365
0.060,0.000,0.000,0.000,0,false,11.366
0.060,0.000,0.000,0.000,0,false,11.365
0.060,0.002,0.000,0.000,0,false,11.367
0.040,0.015,0.000,0.000,0,false,11.368
0.060,0.000,0.000,0.000,0,false,11.325
0.060,0.023,0.000,0.000,0,false,11.354
0.060,0.000,0.000,0.000,0,false,11.332
0.060,0.027,0.000,0.000,0,false,11.360
0.060,0.001,0.000,0.000,0,false,11.334
0.040,0.027,0.000,0.000,0,false,11.360
0.060,0.024,0.000,0.000,0,false,11.360
0.060,0.000,0.000,0.000,0,false,11.334
0.060,0.025,0.000,0.000,0,false,11.359
0.060,0.000,0.000,0.000,0,false,11.333
0.040,0.026,0.000,0.000,0,false,11.362
0.060,0.028,0.000,0.000,0,false,11.363
0.060,0.000,0.000,0.000,0,false,11.335
0.060,0.000,0.000,0.000,0,false,11.315
0.060,0.000,0.000,0.000,0,false,11.333
0.040,0.000,0.000,0.000,0,false,11.333
